iter	Passed	Remaining
472	647	721
473	648	719
474	650	719
475	652	717
476	652	715
477	653	713
478	654	711
479	655	709
480	655	707
481	656	705
482	657	703
483	658	701
484	659	699
485	659	697
486	660	695
487	661	693
488	661	691
489	662	689
490	663	687
491	664	685
492	664	683
493	665	682
494	666	680
495	667	678
496	668	676
497	669	674
498	669	672
499	670	670
500	671	668
501	672	666
502	672	664
503	673	663
504	674	661
505	675	659
506	675	657
507	676	655
508	677	653
509	678	651
510	678	649
511	679	647
512	680	645
513	681	644
514	682	642
515	683	641
516	684	639
517	685	637
518	685	635
519	686	633
520	687	632
521	688	630
522	689	628
523	689	626
524	690	625
525	691	623
526	692	621
527	692	619
528	693	617
529	694	616
530	695	614
531	696	612
532	697	610
533	697	609
534	698	607
535	699	605
536	700	603
537	701	602
538	701	600
539	702	598
540	703	596
541	704	594
542	704	593
543	705	591
544	706	589
545	706	587
546	707	585
547	708	584
548	709	583
549	710	581
550	711	580
551	712	578
552	713	576
553	714	575
554	715	573
555	716	571
556	717	570
557	717	568
558	718	566
559	719	565
560	719	563
561	720	561
562	721	560
563	722	558
564	723	556
565	723	555
566	724	553
567	725	551
568	726	550
569	726	548
570	727	546
571	728	545
572	729	543
573	730	542
574	731	540
575	732	538
576	732	537
577	733	535
578	734	533
579	735	532
580	735	530
581	736	528
582	737	527
583	738	526
584	739	524
585	740	523
586	741	521
587	741	519
588	742	518
589	743	516
590	744	515
591	745	513
592	746	512
593	746	510
594	747	509
595	748	507
596	749	505
597	749	504
598	750	502
599	751	500
600	752	499
601	753	497
602	753	496
603	754	494
604	755	493
605	755	491
606	756	489
607	757	488
608	758	486
609	759	485
610	760	484
611	761	482
612	762	481
613	762	479
614	763	478
615	764	476
616	765	474
617	765	473
618	766	471
619	767	470
620	768	468
621	768	467
622	769	465
623	770	464
624	771	462
625	772	461
626	773	459
627	773	458
628	775	457
629	776	455
630	777	454
631	777	452
632	778	451
633	779	449
634	779	448
635	780	446
636	781	445
637	781	443
638	782	442
639	783	440
640	784	439
641	784	437
642	785	436
643	786	434
644	786	433
645	787	431
646	788	430
647	789	428
648	790	427
649	791	426
650	791	424
651	792	423
652	793	421
653	794	420
654	795	418
655	795	417
656	796	416
657	797	414
658	798	413
659	799	411
660	799	410
661	800	408
662	801	407
663	802	405
664	802	404
665	803	403
666	804	401
667	805	400
668	806	399
669	807	397
670	808	396
671	809	394
672	809	393
673	810	392
674	811	390
675	812	389
676	813	387
677	813	386
678	814	385
679	815	383
680	816	382
681	816	380
682	817	379
683	818	377
684	818	376
685	819	375
686	820	373
687	821	372
688	822	371
689	823	370
690	824	368
691	825	367
692	825	365
693	826	364
694	827	363
695	827	361
696	828	360
697	829	358
698	830	357
699	831	356
700	831	354
701	832	353
702	833	351
703	833	350
704	834	349
705	835	347
706	836	346
707	837	345
708	838	344
709	838	342
710	839	341
711	840	339
712	841	338
713	842	337
714	843	336
715	843	334
716	844	333
717	845	332
718	846	330
719	847	329
720	848	328
721	849	327
722	850	325
723	851	324
724	852	323
725	853	322
726	854	320
727	854	319
728	855	318
729	856	316
730	857	315
731	857	314
732	858	312
733	859	311
734	860	310
735	860	308
736	861	307
737	862	306
738	863	304
739	864	303
740	864	302
741	865	300
742	866	299
743	867	298
744	868	297
745	869	295
746	869	294
747	870	293
748	871	292
749	872	290
750	873	289
751	873	288
752	874	286
753	875	285
754	876	284
755	876	283
756	877	281
757	878	280
758	879	279
759	880	277
760	880	276
761	881	275
762	882	274
763	882	272
764	884	271
765	885	270
766	885	269
767	886	267
768	887	266
769	888	265
770	888	264
771	889	262
772	890	261
773	891	260
774	891	258
775	892	257
776	893	256
777	894	255
778	895	253
779	896	252
780	896	251
781	897	250
782	898	249
783	899	247
784	900	246
785	901	245
786	902	244
787	902	242
788	903	241
789	904	240
790	905	239
791	906	238
792	907	236
793	907	235
794	908	234
795	909	233
796	910	231
797	910	230
798	911	229
799	912	228
800	913	226
801	913	225
802	914	224
803	916	223
804	916	222
805	917	220
806	918	219
807	919	218
808	920	217
809	921	216
810	922	214
811	922	213
812	923	212
813	924	211
814	924	209
815	925	208
816	926	207
817	927	206
818	927	205
819	928	203
820	929	202
821	930	201
822	931	200
823	932	199
824	933	197
825	933	196
826	934	195
827	935	194
828	935	193
829	936	191
830	937	190
831	938	189
832	938	188
833	939	187
834	940	185
835	941	184
836	941	183
837	942	182
838	943	180
839	943	179
840	944	178
841	945	177
842	947	176
843	948	175
844	949	174
845	949	172
846	950	171
847	951	170
848	952	169
849	952	168
850	953	166
851	954	165
852	954	164
853	955	163
854	956	162
855	957	161
856	958	159
857	959	158
858	960	157
859	961	156
860	963	155
861	964	154
862	964	153
863	965	152
864	966	150
865	967	149
866	968	148
867	969	147
868	970	146
869	970	145
870	971	143
871	972	142
872	973	141
873	973	140
874	974	139
875	975	138
876	976	136
877	978	135
878	979	134
879	979	133
880	980	132
881	981	131
882	981	130
883	982	128
884	983	127
885	983	126
886	984	125
887	985	124
888	986	123
889	986	121
890	987	120
891	988	119
892	989	118
893	990	117
894	990	116
895	991	115
896	992	114
897	993	112
898	994	111
899	995	110
900	995	109
901	996	108
902	997	107
903	998	105
904	998	104
905	999	103
906	1000	102
907	1000	101
908	1001	100
909	1002	99
910	1003	98
911	1003	96
912	1004	95
913	1005	94
914	1006	93
915	1007	92
916	1008	91
917	1009	90
918	1010	89
919	1010	87
920	1011	86
921	1012	85
922	1013	84
923	1013	83
924	1014	82
925	1015	81
926	1015	79
927	1016	78
928	1017	77
929	1017	76
930	1018	75
931	1019	74
932	1020	73
933	1021	72
934	1021	71
935	1022	69
936	1023	68
937	1024	67
938	1025	66
939	1026	65
940	1027	64
941	1027	63
942	1028	62
943	1029	61
944	1030	59
945	1030	58
946	1031	57
947	1032	56
948	1033	55
949	1033	54
950	1034	53
951	1035	52
952	1035	51
953	1036	49
954	1037	48
955	1037	47
956	1038	46
957	1040	45
958	1040	44
959	1041	43
960	1042	42
961	1043	41
962	1044	40
963	1045	39
964	1045	37
965	1046	36
966	1046	35
967	1047	34
968	1048	33
969	1049	32
970	1050	31
971	1051	30
972	1051	29
973	1052	28
974	1053	27
975	1053	25
976	1055	24
977	1056	23
978	1056	22
979	1057	21
980	1058	20
981	1058	19
982	1059	18
983	1060	17
984	1060	16
985	1061	15
986	1062	13
987	1063	12
988	1064	11
989	1065	10
990	1065	9
991	1066	8
992	1067	7
993	1068	6
994	1068	5
995	1069	4
996	1070	3
997	1071	2
998	1072	1
999	1072	0
